",""Dates"",""AAPL"",""MSFT"",""AMZN"",""FB"",""GOOGL"",""TSLA"",""NVDA"",""BAC"",""NFLX"",""KO"""
"107,""2015-01-13"",24.025024,40.810265,290.73999,75.18,510.459991,38.613998,4.799188,13.575568,48.191429,34.133099"
"108,""2015-01-20"",25.636669,41.489845,309.660004,77.5,536.719971,41.310001,4.957879,13.990428,63.794285,34.510303"
"109,""2015-01-27"",26.890165,36.432697,364.470001,74.989998,532.200012,42.188,4.717438,13.646184,63.009998,33.378685"
"110,""2015-02-03"",27.137239,37.385876,370.559998,74.440002,529.280029,43.495998,4.900173,14.431763,63.295715,33.089764"
"111,""2015-02-10"",28.919235,38.718563,381.829987,75.739998,551.159973,40.754002,5.364222,14.661261,66.585716,33.699703"
"112,""2015-02-17"",30.266434,38.965683,380.140015,78.839996,535,41.467999,5.328156,14.299365,67.405716,33.587345"
"113,""2015-02-24"",29.376642,39.002995,385.660004,79.75,575.02002,39.466,5.433952,14.131656,68.60714,34.670815"
"114,""2015-03-03"",28.932886,38.087475,378.559998,79.440002,574.099976,38.175999,5.457289,14.272882,63.66143,33.218174"
"115,""2015-03-10"",28.434515,36.940845,373.350006,78.07,561.640015,39.139999,5.544179,14.282095,60.281429,32.33535"
"116,""2015-03-17"",28.948816,38.096375,375.109985,84.43,565.369995,39.925999,5.481425,13.919066,60.714287,32.870705"
"117,""2015-03-24"",28.757666,36.407543,374.589996,83.199997,561.140015,38.113998,5.182129,13.74198,60.367142,32.781689"
"118,""2015-03-31"",28.980677,36.931957,377.040009,82.440002,543.950012,40.619999,5.230404,13.733124,60.330002,33.315773"
"119,""2015-04-07"",28.866896,37.118622,382.359985,83.010002,548.640015,41.956001,5.442806,13.989904,67.811432,32.935448"
"120,""2015-04-14"",29.037567,38.140797,389.51001,83.089996,544.530029,41.054001,5.331778,13.78625,81.055717,32.90308"
"121,""2015-04-21"",30.186777,42.691746,438.559998,81.910004,566.119995,46.310001,5.358328,13.777398,80.868568,33.040649"
"122,""2015-04-28"",29.287893,42.87841,423.040009,78.809998,552.840027,46.102001,5.457289,14.556581,79.271431,33.145851"
"123,""2015-05-05"",28.746279,42.105095,432.850006,78.010002,545.780029,47.897999,4.979382,14.600854,84.278572,33.129662"
"124,""2015-05-12"",29.750723,42.673965,425.23999,80.879997,546.669983,49.75,5.133857,14.618563,88.267143,33.437164"
"125,""2015-05-19"",30.287741,41.687344,427.630005,80.540001,554.52002,49.546001,5.034897,14.831068,88.83857,33.348141"
"126,""2015-05-26"",29.830704,42.253487,430.920013,80.290001,549.210022,49.889999,5.426776,14.653982,89.002853,33.129662"
"127,""2015-06-02"",29.204567,40.911545,423.5,80.669998,543.47998,51.257999,5.274013,15.123262,89.604286,32.498463"
"128,""2015-06-09"",29.003471,40.687878,423.670013,80.709999,543,50.076,5.109124,15.51498,93.431427,32.037201"
"129,""2015-06-16"",29.161148,41.35886,436.290009,84.739998,559.679993,51.958,5.281287,15.51498,96.414284,33.027657"
"130,""2015-06-23"",28.457308,39.694847,429.859985,85.800003,541.25,52.403999,4.878765,14.999887,92.23143,32.146488"
"131,""2015-06-30"",28.793232,39.712734,436.040009,87.550003,545.619995,55.944,4.890888,15.044289,94.571426,32.1628"
"132,""2015-07-07"",28.71554,40.741566,455.570007,90.099998,571.72998,52.431999,4.820569,15.115335,101.087143,33.174526"
"133,""2015-07-14"",30.18034,41.976162,488.100006,97.910004,692.840027,56.452,4.776922,16.092241,110.550003,33.761974"
"134,""2015-07-21"",28.055122,40.571575,531.409973,94.169998,658.27002,50.602001,4.682353,15.692595,106.43,33.076622"
"135,""2015-07-28"",27.065639,41.87775,535.030029,94.139999,664.719971,51.998001,4.919987,15.781408,112.559998,33.892517"
